# schema.function(args)|returns|volatility|security|config
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
core.find_person_duplicates(p_tenant_id uuid, p_full_name text, p_phone text)|TABLE(person_id uuid, public_code text, full_name text, match_level text, matched_on text)|stable|definer|search_path=core, public, extensions, pg_temp
core.generate_public_code(p_prefix text)|text|stable|invoker|-
core.handle_new_well()|trigger|volatile|definer|search_path=core, pg_temp
core.hash_invitation_code(p_code text, p_salt text)|text|immutable|invoker|search_path=pg_catalog, pg_temp
core.invite_well_member(p_well_id uuid, p_role text, p_full_name text, p_phone text)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
core.is_active_owner_in_tenant(p_tenant_id uuid, p_excluded_well_id uuid)|boolean|stable|definer|search_path=core, pg_temp
core.merge_persons(p_primary_id uuid, p_duplicate_id uuid, p_reason text, p_requested_by uuid)|uuid|volatile|definer|search_path=core, ops, billing, finance, inventory, audit, pg_temp
core.new_invitation_code()|text|volatile|invoker|search_path=pg_catalog, pg_temp
core.normalize_arabic(p_text text)|text|immutable|invoker|-
core.normalize_phone(p_text text)|text|immutable|invoker|-
core.prepare_pump_identity_076()|trigger|volatile|invoker|search_path=core, pg_temp
core.read_member_reset_requests(p_well_id uuid, p_limit integer)|jsonb|stable|definer|search_path=pg_catalog, pg_temp
core.read_well_team(p_well_id uuid)|jsonb|stable|definer|search_path=pg_catalog, pg_temp
core.request_member_password_reset(p_well_id uuid, p_phone text)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
core.revoke_well_member(p_well_id uuid, p_role text, p_phone text)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
core.save_well_pump(p_well_id uuid, p_name text, p_pump_id uuid, p_pump_type text, p_power_rating text, p_estimated_water_flow_liters_per_minute numeric, p_estimated_fuel_ml_per_hour bigint, p_status text, p_installed_at date, p_notes text)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
core.setup_well_full(p_setup_data jsonb)|jsonb|volatile|definer|search_path=core, ops, iam, pg_temp
core.touch_pump_updated_at_076()|trigger|volatile|invoker|search_path=pg_catalog, pg_temp
core.update_well_details(p_well_id uuid, p_name text, p_location text, p_depth_meters numeric, p_static_water_level_meters numeric, p_notes text)|uuid|volatile|definer|search_path=pg_catalog, pg_temp
finance.accrue_payroll(p_well_id uuid, p_person_id uuid, p_period_start date, p_period_end date, p_gross_minor bigint, p_deductions_minor bigint, p_created_by uuid)|uuid|volatile|definer|search_path=finance, core, pg_temp
finance.approve_opening_balance_batch(p_batch_id uuid, p_approved_by uuid)|void|volatile|definer|search_path=finance, pg_temp
finance.approve_period_reopen(p_request_id uuid, p_partner_id uuid)|void|volatile|definer|search_path=finance, core, ops, iam, pg_temp
finance.approve_profit_distribution(p_cycle_id uuid, p_approved_by uuid)|void|volatile|definer|search_path=finance, core, ops, billing, pg_temp
finance.calculate_profit_distribution(p_well_id uuid, p_period_start timestamp with time zone, p_period_end timestamp with time zone, p_calculated_by uuid, p_manual_reserve_minor bigint)|uuid|volatile|definer|search_path=finance, billing, inventory, core, ops, pg_temp
finance.check_distribution_cycle_lines_total()|trigger|volatile|invoker|-
finance.close_period(p_period_id uuid, p_closed_by uuid)|void|volatile|definer|search_path=finance, core, pg_temp
finance.compute_reserved_liabilities(p_well_id uuid)|bigint|stable|definer|search_path=finance, pg_temp
finance.create_default_expense_categories(p_tenant_id uuid)|integer|volatile|definer|search_path=finance, pg_temp
finance.create_default_ledger_accounts(p_well_id uuid)|integer|volatile|definer|search_path=finance, core, public
finance.create_distribution_settings()|trigger|volatile|definer|search_path=finance, pg_temp
finance.create_main_cashbox()|trigger|volatile|definer|search_path=finance, core, pg_temp
finance.decide_expense(p_expense_id uuid, p_approver_profile_id uuid, p_approve boolean, p_note text)|text|volatile|definer|search_path=finance, ops, pg_temp
